"Surveyed_by","Date","method","SubplotID","SPP","PlantID","Phen","Leaf","Dam","Chew","mScrape","iScrape","Mine","Gall","Window","Lspot","Rust","Pmildew","Dmildew","Blight","wet","rhiz.like","clorosis","white.mildew.like.thing","thrips","tent","scler.like","Phomopsis","lf.curl","necrotic.lesion","Chlorotic.spots","Choking","slime_mold_like","Notes","disease","herbivory","tot.damage","SPP2","SubplotID2"
"fh, mj","18.Jul.19","closest","I5.7.1","Lolium perenne",3,"v",3,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Lolium perenne","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Lolium perenne",3,"v",4,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Lolium perenne","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Lolium perenne",4,"v",1,"d",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",2,0,2,"lolium","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Lolium perenne",4,"v",2,"d",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",1,0,1,"lolium","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Lolium perenne",4,"v",3,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"lolium","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Lolium perenne",4,"v",4,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"lolium","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Lolium perenne",5,"v",1,"d",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",1,0,1,"Lolium perenne","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Lolium perenne",5,"v",2,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Lolium perenne","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Lolium perenne",5,"v",3,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Lolium perenne","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Lolium perenne",5,"v",4,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Lolium perenne","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Lolium perenne",6,"f",1,"d",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",1,0,1,"Lolium perenne","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Lolium perenne",6,"f",2,"d",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",1,0,1,"Lolium perenne","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Dactylis glomerata",7,"v",1,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Dactylis glomerata","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Dactylis glomerata",7,"v",2,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Dactylis glomerata","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Dactylis glomerata",7,"v",3,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Dactylis glomerata","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Dactylis glomerata",7,"v",4,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Dactylis glomerata","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Dactylis glomerata",7,"v",5,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Dactylis glomerata","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Lolium perenne",8,"v",1,"d",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,2,2,"Lolium perenne","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Lolium perenne",8,"v",2,"d",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,2,2,"Lolium perenne","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Lolium perenne",8,"v",3,"d",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,1,1,"Lolium perenne","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Lolium perenne",8,"v",4,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Lolium perenne","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Lolium perenne",8,"v",5,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Lolium perenne","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Phleum pratense",9,"f",1,"d",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,5,5,"Phleum pratense","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Phleum pratense",9,"f",2,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Phleum pratense","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Phleum pratense",9,"f",3,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Phleum pratense","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Phleum pratense",9,"f",4,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Phleum pratense","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Lolium perenne",10,"v",1,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Lolium perenne","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Lolium perenne",10,"v",2,"d",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,10,10,"Lolium perenne","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Lolium perenne",10,"v",3,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Lolium perenne","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Poa pratensis",11,"v",1,"d",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,10,10,"Poa pratensis","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Poa pratensis",11,"v",2,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Poa pratensis","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Poa pratensis",11,"v",3,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Poa pratensis","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Leontodon sp",12,"b",1,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Leontodon sp","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Leontodon sp",12,"b",2,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Leontodon sp","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Leontodon sp",12,"b",3,"d",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,2,2,"Leontodon sp","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Leontodon sp",12,"b",4,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Leontodon sp","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Leontodon sp",12,"b",5,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Leontodon sp","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Lolium perenne",13,"v",1,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Lolium perenne","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Lolium perenne",13,"v",2,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Lolium perenne","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Lolium perenne",14,"v",1,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Lolium perenne","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Lolium perenne",14,"v",2,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Lolium perenne","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Lolium perenne",14,"v",3,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Lolium perenne","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Cynosurus cristatus",15,"v",1,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Cynosurus cristatus","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Cynosurus cristatus",15,"v",2,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Cynosurus cristatus","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Cynosurus cristatus",15,"v",3,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Cynosurus cristatus","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Cynosurus cristatus",15,"v",4,"d",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",1,0,1,"Cynosurus cristatus","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Cynosurus cristatus",15,"v",5,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Cynosurus cristatus","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Phleum pratense",16,"vb",1,"d",5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",10,5,15,"Phleum pratense","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Phleum pratense",16,"vb",2,"d",0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0.5,0,0.5,"Phleum pratense","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Phleum pratense",16,"vb",3,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Phleum pratense","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Phleum pratense",16,"vb",4,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Phleum pratense","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Phleum pratense",16,"vb",5,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Phleum pratense","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Lolium perenne",17,"v",1,"d",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,5,5,"Lolium perenne","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Lolium perenne",17,"v",2,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Lolium perenne","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Lolium perenne",17,"v",3,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Lolium perenne","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Dactylis glomerata",18,"v",1,"d",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",2,0,2,"Dactylis glomerata","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Dactylis glomerata",18,"v",2,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Dactylis glomerata","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Dactylis glomerata",18,"v",3,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Dactylis glomerata","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Dactylis glomerata",18,"v",4,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Dactylis glomerata","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Lolium perenne",19,"v",1,"d",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,10,10,"Lolium perenne","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Lolium perenne",19,"v",2,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Lolium perenne","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Leontodon sp",20,"v",1,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Leontodon sp","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Leontodon sp",20,"v",2,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Leontodon sp","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Leontodon sp",20,"v",3,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Leontodon sp","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Leontodon sp",20,"v",4,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Leontodon sp","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.1","Leontodon sp",20,"v",5,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Leontodon sp","I5.7.1"
"fh, mj","18.Jul.19","closest","I5.7.3","Cynosurus cristatus",1,"v",1,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Cynosurus cristatus","I5.7.3"
"fh, mj","18.Jul.19","closest","I5.7.3","Cynosurus cristatus",1,"v",2,"d",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,5,5,"Cynosurus cristatus","I5.7.3"
"fh, mj","18.Jul.19","closest","I5.7.3","Cynosurus cristatus",1,"v",3,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Cynosurus cristatus","I5.7.3"
"fh, mj","18.Jul.19","closest","I5.7.3","Cynosurus cristatus",1,"v",4,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Cynosurus cristatus","I5.7.3"
"fh, mj","18.Jul.19","closest","I5.7.3","Cynosurus cristatus",1,"v",5,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Cynosurus cristatus","I5.7.3"
"fh, mj","18.Jul.19","closest","I5.7.3","Cynosurus cristatus",2,"v",1,"d",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,10,10,"Cynosurus cristatus","I5.7.3"
"fh, mj","18.Jul.19","closest","I5.7.3","Cynosurus cristatus",2,"v",2,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Cynosurus cristatus","I5.7.3"
"fh, mj","18.Jul.19","closest","I5.7.3","Cynosurus cristatus",2,"v",3,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Cynosurus cristatus","I5.7.3"
"fh, mj","18.Jul.19","closest","I5.7.3","Cynosurus cristatus",2,"v",4,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Cynosurus cristatus","I5.7.3"
"fh, mj","18.Jul.19","closest","I5.7.3","Cynosurus cristatus",2,"v",5,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Cynosurus cristatus","I5.7.3"
"fh, mj","18.Jul.19","closest","I5.7.3","Cynosurus cristatus",3,"v",1,"d",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",1,0,1,"Cynosurus cristatus","I5.7.3"
"fh, mj","18.Jul.19","closest","I5.7.3","Cynosurus cristatus",3,"v",2,"d",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",1,0,1,"Cynosurus cristatus","I5.7.3"
"fh, mj","18.Jul.19","closest","I5.7.3","Cynosurus cristatus",3,"v",3,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Cynosurus cristatus","I5.7.3"
"fh, mj","18.Jul.19","closest","I5.7.3","Cynosurus cristatus",3,"v",4,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Cynosurus cristatus","I5.7.3"
"fh, mj","18.Jul.19","closest","I5.7.3","Cynosurus cristatus",3,"v",5,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Cynosurus cristatus","I5.7.3"
"fh, mj","18.Jul.19","closest","I5.7.3","Lolium perenne",4,"v",1,"d",10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",1,10,11,"Lolium perenne","I5.7.3"
"fh, mj","18.Jul.19","closest","I5.7.3","Lolium perenne",4,"v",2,"d",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,1,1,"Lolium perenne","I5.7.3"
"fh, mj","18.Jul.19","closest","I5.7.3","Lolium perenne",4,"v",3,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Lolium perenne","I5.7.3"
"fh, mj","18.Jul.19","closest","I5.7.3","Lolium perenne",4,"v",4,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Lolium perenne","I5.7.3"
"fh, mj","18.Jul.19","closest","I5.7.3","Cynosurus cristatus",5,"v",1,"d",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,20,20,"Cynosurus cristatus","I5.7.3"
"fh, mj","18.Jul.19","closest","I5.7.3","Cynosurus cristatus",5,"v",2,"d",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",5,0,5,"Cynosurus cristatus","I5.7.3"
"fh, mj","18.Jul.19","closest","I5.7.3","Cynosurus cristatus",5,"v",3,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Cynosurus cristatus","I5.7.3"
"fh, mj","18.Jul.19","closest","I5.7.3","Cynosurus cristatus",5,"v",4,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Cynosurus cristatus","I5.7.3"
"fh, mj","18.Jul.19","closest","I5.7.3","Cynosurus cristatus",5,"v",5,"nd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picking the plant with a stem closest to the stick.",0,0,0,"Cynosurus cristatus","I5.7.3"
