"Species","Chlorophyll","CN","Height","Leaf_lifespan","Leaf_N","Leaf_P","Photosynthetic_rate","Seed_mass","SLA","f1"
"Centaurea jacea",NA,16.466615693,0.132991279069767,NA,23.4710588685,1.43400384425,0.155388,1.34255555555556,20.3467205398186,-0.0959651419268544
"Centaurea scabiosa",6.47946675305,NA,0.53205,3.24,22.7857142857143,1.64771428571429,NA,7.725,14.4507762260228,-0.510320530467315
"Cerastium fontanum",NA,28.5335320743333,0.3375,10.808,19.0278268074947,4.2490549708,NA,0.162285714285714,30.087329783966,1.2841069237911
"Cerastium sp",4.55,28.5335320743333,0.225666666666667,10.808,19.0278268074947,4.2490549708,NA,0.162285714285714,28.9259970959722,0.633857068130645
"Cirsium acaule",NA,NA,0.114115384615385,4,17.5133333333333,1.16666666666667,NA,4.13083333325,11.080280452432,-1.33868565572767
"Cirsium arvense",NA,18.3375588724,0.858823529411765,NA,24.2870303553,0.9151060255,NA,1.15625,19.0077395548512,-0.299861104850092
"Clinopodium vulgare",NA,29.320845734,0.429473684210526,NA,15.68,1.64,NA,0.343,23.9604897273798,0.0948861992690118
"Colchicum autumnale",NA,NA,0.223454545454545,9,18.6666666666667,1.77333333333333,NA,5.63333333333333,19.4,-0.295315038447775
"Crepis sp",NA,24.9789133095,0.495833333333333,NA,17.7716399033333,2.993527508,NA,0.711,24.3800444083333,0.41332472882935
"Cynosurus cristatus",NA,16.6555564554286,0.220019553072626,NA,21.0921436029214,0.2615,NA,0.4759375,25.9734642603217,0.290762620355057
"Dactylis glomerata",NA,22.0327190141034,0.359728653925276,3.11315068493151,23.4943470644987,2.08784927804722,0.223239492719078,0.810123882503193,26.8468639199168,0.774587174407113
"Danthonia decumbens",NA,28.3912167718333,0.301857142857143,NA,17.5527777783333,0.771966502,NA,1.57022222222222,15.9232232872755,-0.888768082704807
"Daucus carota",NA,24.7038926235385,0.539267741935484,2.72876712328767,20.9959210475938,2.4591217800375,0.275757668820949,1.05869565217391,16.0608568740891,-0.465980031349522
"Deschampsia cespitosa",3.94497399820159,32.7049131581429,0.754169444444444,NA,15.0160255446026,1.35172100588235,0.0495175954545455,0.29,14.5848610677257,-1.10401372486725
"Echium vulgare",NA,NA,0.589307692307692,NA,17.112,NA,NA,2.79810389614286,14.846,-0.880612373596624
"Erica herbacea",NA,NA,0.231206896551724,NA,NA,NA,NA,3,4.5457462716,NA
"Euphorbia cyparissias",NA,18.94214876,0.246035714285714,NA,26.619,2.122,NA,2.7,19.6604661699513,0.0307805989560242
"Euphrasia sp",NA,NA,0.110833333333333,NA,NA,NA,NA,NA,NA,NA
"Festuca ovina",4.7,35.6267692853462,0.207692307692308,15.84,12.9475767543815,1.01706761912286,NA,0.57275,13.0516894757393,-1.22952731741914
"Festuca rubra",3.7037037037,29.2525375636538,0.386109183673469,4.08,16.0820494526779,1.64796452788182,0.151740666666667,0.881333333333333,13.1210224895051,-1.17265471092559
"Fragaria vesca",8.25,29.7191316494667,0.112047619047619,NA,16.8668467306393,0.737,0.0691664416204772,0.333555555555556,28.120977640119,0.630374578509674
"Galium sp",5.22547281325,21.8159127829286,0.165052742616034,21,20.0791650376597,1.83086512507368,0.9595959596,0.724142857142857,24.2559690307813,0.0451159237537213
"Galium verum",5.22547281325,23.8718529953333,0.147613367174281,21,18.7871703445893,1.55746388142143,0.9595959596,0.83975,20.4552041743262,-0.341295030975828
"Gentiana sp",NA,NA,0.0492585365853659,NA,13.6,NA,NA,NA,11.339399669202,-1.41061960014472
"Geranium columbinum",NA,NA,0.3225,NA,NA,NA,NA,4.35,NA,NA
"Geranium sylvaticum",7.5,19.239674084,0.392714285714286,NA,25.2975388242539,1.75175,0.0744608271328972,5.656875,28.4676564315633,0.875738308808336
"Globularia sp",NA,NA,0.11025,NA,12.7033333333333,1.19,NA,NA,7.41290443116294,-1.94934432808276
"Helianthemum nummularium",NA,18.8880721764,0.0971320132013201,11.2775342465753,23.0614580459617,2.14233333332815,0.145988343072009,1.0005,16.5336726486383,-0.434012051702634
"Hepatica nobilis",NA,25.7803326177778,0.0868852459016393,NA,17.6463818518704,NA,NA,3.7,18.3280939853049,-0.452802011332436
"Hieracium sp",NA,26.938390386625,0.0750555555555556,18.81,17.4230296700092,2.19875718844648,NA,0.134166666666667,10.7060957737158,-1.29936183123783
"Hippocrepis comosa",NA,NA,0.143766666666667,NA,34.9,1.57675,NA,2.85,14.8378,-0.332681240356099
"Homogyne alpina",NA,NA,0.14951,NA,17.2666666666667,1,NA,NA,NA,-0.681504530069292
"Hypericum perforatum",NA,22.1744730994444,0.506539444444444,36,22.1619913333667,NA,NA,0.250571428571429,25.4711183804851,0.414001281354191
"Hypericum sp",NA,21.2978342457692,0.493933585858586,36,24.4086147126667,2.03,0.0572355,0.2392,25.8237174187322,0.52505515835669
"Knautia arvensis",NA,22.5095818845,0.429589285714286,NA,21.353528344,2.822858986,NA,4.1713,19.94444647438,-0.00114311706746117
"Lathyrus pratensis",7.99,15.1687367354737,0.4875625,NA,36.6359910754357,2.36057142857143,0.1263735,11.1462,26.8351846857411,1.14831572891119
"Leontodon hispidus",NA,19.5152832616154,0.2375,3.49333333333333,22.9676375221328,2.26741941123529,NA,1.32461538461538,25.0887096564692,0.58424203521096
"Leontodon sp",NA,19.5152832616154,0.2375,3.49333333333333,22.9676375221328,2.26741941123529,NA,1.32461538461538,25.0887096564692,0.58424203521096
"Leucanthemum vulgare",NA,26.7383470095,0.329088235294118,3.38995433789954,20.5667934770137,1.68725590466667,0.368044489090706,0.343529411764706,19.5808496773797,-0.200595452007221
"Linum catharticum",NA,41.6766200186667,0.116461240310078,6,14.50688751125,0.43697732025,NA,0.148708333333333,28.8377470338272,0.451876879966525
"Lolium perenne",NA,17.8229990997643,0.233436178861789,2.52,24.8643728667231,2.85455601809412,0.55,1.60071956277385,19.5153393899674,0.107831690592943
"Lotus corniculatus",NA,13.430409243582,0.216911615473776,9.21,33.4269830625946,1.4638501071,NA,1.25519047619048,22.0733910388532,0.431466952171316
"Lotus maritimus",NA,NA,0.2,NA,NA,NA,NA,NA,18.51,NA
"Luzula sp",NA,17.500326133,0.11525,11,25.4379071171429,0.3295729525,NA,0.6572,26.397570085,0.48643521631905
"Maianthemum bifolium",12.98,NA,0.150714285714286,NA,25.75,1.53554602706922,0.0503005483165493,9.448,42.5152750878654,2.82850605063376
"Medicago falcata",7.4,NA,0.44,NA,28.2,2.72,0.47348484848,1.16666666666667,20.5,0.358851599257202
"Medicago lupulina",NA,12.3544665271833,0.253023559322034,6,35.541959324507,1.665130135,0.49500396,1.63525,26.3600284694553,1.02827832395645
"Molinia caerulea",NA,20.6189168149091,1.05076923076923,NA,16.5276370939435,1.89886791055,NA,1.217,20.259427614994,-0.259575941714949
"Neotinea ustulata",NA,NA,0.178666666666667,36,NA,NA,NA,NA,25.593,0.503371487985738
"Ononis spinosa",NA,10.270252325,0.31375,NA,50.2,2.620316334,NA,5.44,19.1670668142174,0.808801535278971
"Pastinaca sativa",NA,18.0350856,0.691388888888889,NA,22.353266926,NA,NA,3.49875,17.91846534,-0.344045265010143
"Persicaria vivipara",6.72977359493477,17.9516930643634,0.114805555555556,1.57529563283501,28.1311537899354,2.08313203565217,0.234537913703544,2.5525,15.7038707423062,-0.184519609991083
"Peucedanum oreoselinum",NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA
"Phleum pratense",5.17479733816407,21.1312087757846,0.680444155844156,10.0191780821918,28.7316853523125,2.5247021125,0.141068635145602,0.395666666666667,21.8925710108415,0.16288319365633
"Pilosella lactucella",NA,NA,0.0516071428571429,18,NA,NA,NA,NA,21.5255600563636,0.0663932008460098
"Pilosella officinarum",NA,26.938390386625,0.0832625,18.9257142857143,17.4230296700092,2.19875718844648,NA,0.134166666666667,10.268543909344,-1.34931160079005
"Pilosella sp",NA,26.938390386625,0.0750555555555556,18.81,17.4230296700092,2.19875718844648,NA,0.134166666666667,10.7060957737158,-1.29936183123783
"Pimpinella saxifraga",5.72,20.041243161125,0.32218,4,23.0010101009091,1.9895591015,0.105454225354868,1.04766666666667,17.3112675655852,-0.330177577780243
"Plantago atrata",NA,NA,0.0739285714285714,NA,20.5850472,2.33,NA,NA,14.2733333333333,-0.744520767176095
"Plantago lanceolata",NA,28.1467546634226,0.152554488527886,6.11303326810176,19.0174156424511,2.041313297224,0.37386229660812,1.48803333333333,17.6312272653306,-0.430234284323215
"Plantago major",6.83,20.2991,0.260688,NA,21.451818155,NA,0.399596887090698,0.180555555555556,20.8311554310248,0.0569896711762508
"Plantago media",5.23857142857143,15.531383778,0.188381578947368,NA,21.3652741195238,1.613,0.0634517987707391,0.359701298727273,20.3976466355835,-0.241874350991579
"Poa annua",NA,9.40340532845,0.151335714285714,1.68,40.5486684818182,3.6329489304,0.697299933936106,0.311375,37.5249054625507,2.76319133262075
"Poa badensis",NA,NA,0.275,NA,NA,NA,NA,NA,NA,NA
"Poa pratensis",NA,27.0459843032143,0.240233244047619,3.01479452054795,18.6938059168667,1.48909864966667,0.374122758095238,0.190463349501802,18.6660138875761,-0.391621823707838
"Poa sp",5.86957631707241,26.437619510981,0.232460189189189,6.09369863013699,21.0722728263296,1.84426632681,0.483532466305003,0.374680627464098,17.9653960610558,-0.324127943284396
"Polygala alpestris",NA,NA,0.0905,NA,NA,NA,NA,NA,18.072560847,NA
"Polygala chamaebuxus",NA,NA,0.10625,NA,NA,NA,NA,NA,NA,NA
"Polygala comosa",NA,NA,0.171,NA,NA,NA,NA,NA,19.997,NA
"Polygala vulgaris",NA,17.103448276,0.167142857142857,NA,23.8789901739736,2.5,NA,1.912,23.6560503545031,0.453500504965775
"Potentilla erecta",NA,20.4495268733333,0.195555357142857,NA,22.698782976,1.49478768393333,NA,0.7182,26.4321770532586,0.579966899508123
"Potentilla sp",6.848,20.4426838667125,0.161759090909091,2.76281800391389,24.3078126002064,1.62452392611707,0.301202181279627,0.632625,20.651936724831,0.105682247305445
"Primula sp",NA,26.768292683,0.145354054054054,3.3934703196347,19.4306666666667,NA,0.252525252685084,0.690611111083333,22.3375465418591,0.115834539309447
"Primula veris",NA,26.768292683,0.163847368421053,NA,17.2585714285714,NA,NA,0.836125,19.3511779793625,-0.345276970499701
"Prunella grandiflora",NA,28.926499038,0.224285714285714,18,15.671666665,1.394563692,NA,3,19.5406670375,-0.474088427117975
"Prunella sp",NA,22.15632089725,0.181030769230769,18,19.3571853822636,2.584354564,0.0499079610412143,0.89225,23.9999766980298,0.324945628255497
"Prunella vulgaris",NA,21.5408501571818,0.174302222222222,18,19.7907758195887,3.17925,0.0499079610412143,0.781315789473684,24.283107470127,0.45960020994114
"Pteridium aquilinum",4.4302600473,20.641431461,0.589156626506024,7,22.3541119429621,1.89979503254181,0.157107074152165,1,17.8935573781418,-0.495271614369028
"Pulsatilla sp",NA,NA,0.214285714285714,4,15,1.5,NA,NA,10.7,-1.41224803920276
"Ranunculus acris",NA,17.3577402600824,0.168623376623377,1.4041095890411,23.8922058454854,2.74799027877333,0.246305418813071,1.31471428571429,21.2681803464242,0.263993265890063
"Ranunculus bulbosus",NA,17.795486167,0.110467346938776,11,26.6375075805455,2.6163840738625,NA,3.33333333333333,23.434618511875,0.531661930151658
"Ranunculus montanus",NA,NA,0.171291666666667,NA,21.05,1.67,NA,NA,16.94,-0.525648848900517
"Ranunculus sp",NA,17.4854161496,0.153171261682243,6.20205479452055,24.3076958013276,2.6196370709,0.246305418813071,1.67094117647059,21.7481172563942,0.289755007494407
"Ranunculus tuberosus",NA,17.4854161496,0.153171261682243,6.20205479452055,24.3076958013276,2.6196370709,0.246305418813071,1.67094117647059,21.7481172563942,0.289755007494407
"Rosa sp",5.10432258685,24.2809712721667,1.67234645669291,3.35342465753425,20.9629197278912,2.5413461538453,0.202851519474556,16.2128414996442,21.3595944433484,-0.0545722498025668
"Rubus fruticosus",5.76,27.5591353711111,1.15037037037037,NA,20.1080525030889,1.212,0.275063019405153,5.31744670262664,23.7263552942962,0.0400443023748071
"Rumex sp",NA,17.0811354864622,0.199595505617978,3.24,32.1021823150836,2.76971115924008,NA,0.74875,21.5566666568887,0.553776629840394
"Salvia pratensis",NA,16.657673756,0.489384615384615,NA,28.8407881666667,2.78,NA,2.1,20.226,0.26547599883926
"Sanguisorba minor",NA,22.768718852,0.130448771929825,3.68584474885845,20.8573505054545,1.369766397125,0.208731807048141,6.87788235294118,17.9232013099144,-0.427265372100992
"Scabiosa columbaria",NA,31.0079701253333,0.130260638297872,9,16.5445028575238,1.435882158,NA,1.89424242416667,20.38061093334,-0.302848774176867
"Scabiosa lucida",NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA
"Scabiosa sp",NA,31.0079701253333,0.131713541666667,9,16.5445028575238,1.435882158,NA,1.89424242416667,20.38061093334,-0.302848774176867
"Scorzoneroides autumnalis",4.75,23.5049174834444,0.3213,18,21.3977778923077,2.784,0.132001672780631,0.7151,25.2006237740451,0.210048416253053
"Sedum album",NA,NA,0.0901666666666667,36,NA,NA,NA,0.03,14.00681249,-1.02252495281309
"Sesleria caerulea",NA,27.640582707,0.172721052631579,9,17.5058063076923,1.189,NA,1.85,16.1515424279174,-0.786481688017659
"Silene nutans",NA,NA,0.374875,36,22.8,2.72,NA,0.366666666666667,19.4291148296148,-0.145421663632168
"Silene vulgaris",NA,NA,0.456428571428571,NA,30.6826,NA,NA,1.71083333333333,27.0018343997544,1.00325043862998
"Soldanella alpina",NA,NA,0.0875,NA,NA,NA,NA,NA,NA,NA
"Stachys officinalis",NA,17.730851140375,0.23375,NA,25.3939390480476,2.913428139,NA,1.311,23.0472279436606,0.495208771947817
"Taraxacum sp",6.82388558395132,15.6563407894138,0.174461904761905,3.08493150684932,28.2221953545591,3.39166695485053,0.414260307022051,0.574117647058824,25.9656187555611,0.84864495180036
"Teucrium chamaedrys",NA,22.928276574,0.217857142857143,6.16438356164384,19.45366,1.8,0.130713765821603,NA,13.1692071514373,-0.956374802500635
"Teucrium montanum",NA,NA,0.1575,NA,NA,NA,NA,NA,15.051,NA
"Thymus serpyllum",5.85333333333333,NA,0.060968085106383,36,NA,NA,NA,0.169,17.7839302218615,-0.445496208786418
"Tragopogon pratensis",NA,13.9218711478,0.346952380952381,NA,25.3973546163636,1.67833333333333,NA,8.84847222222222,22.733646427875,0.274065457455481
"Trifolium montanum",NA,NA,0.19725,NA,33.079015625,1.7945,NA,0.77,18.3064628480366,0.0356560018298111
"Trifolium pratense",8.94666666666667,13.0599291075625,0.291935840707965,NA,37.2904277258579,1.91341707476786,0.0909071911566085,1.36173076923077,23.5192266234071,0.962097027337689
"Trifolium repens",8.56666666666667,11.3675016296636,0.200816,10.0013698630137,41.1065309805435,2.406858547745,0.410192694467088,0.433634750267078,28.5123179394563,1.48272927482888
"Trollius europaeus",5.9,18.666684369,0.350590909090909,NA,24.4463926502709,0.9,0.1281905,1.12,25.9879637070714,0.323463089832149
"Tussilago farfara",8.98,NA,0.103571428571429,NA,23.575,NA,NA,0.25,21.0050549131908,0.43209934691347
"Vaccinium vitis-idaea",4.00666666666667,25.905105586375,0.277010416666667,3.36287671232877,19.5442458389202,1.07352838266769,0.0922868701838306,0.730714285714286,20.1974772807714,-0.50547561179779
"Veratrum album",NA,NA,0.91,3.6,34.65,2.13,0.14625,NA,29.7,1.45756587386089
"Veronica chamaedrys",16.1,23.4057949114615,0.103928571428571,NA,18.5999473028571,2.25216425892308,NA,0.215071428571429,24.0778082463492,1.58852733243186
"Veronica officinalis",NA,35.579710145,0.202727272727273,NA,14.9665120816667,2.5,NA,0.443333333333333,23.7107787775,0.172775426259141
"Veronica sp",7.27745442368,25.8786887028333,0.1062109375,36,18.4466100342667,2.33694913917647,NA,0.318321428571429,22.0612127688352,0.105944034744155
"Veronica spicata",5.0718180296,NA,0.142875,36,19.2,NA,NA,0.114,14.5917741077019,-0.886280199866751
"Vicia cracca",8.63,13.75117686951,0.69825,NA,37.9468137646646,2.08317005077778,0.36895002357,13.1188888888889,25.2483905117118,1.10157025858113
"Vicia sepium",NA,NA,0.527107142857143,NA,43.5742857142857,2.32358350939665,0.196708548082969,19.8,31.8961213489684,1.99764730911081
"Viola sp",NA,21.3966815285,0.0813809523809524,6,20.19,3.069,NA,0.986,24.8804460681439,0.5797727617175
